species;threat
Abbottina liaoningensis;NA
Abbottina obtusirostris;NA
Acanthocobitis botia;LC
Acanthocobitis mooreh;LC
Acanthocobitis pavonacea;VU
Acanthocobitis rubidipinnis;LC
Acanthopsoides delphax;LC
Acanthopsoides gracilentus;LC
Acanthopsoides gracilis;LC
Acanthopsoides hapalias;LC
Acanthopsoides molobrion;LC
Acanthorhodeus chankaensis;NA
Acentrogobius chlorostigmatoides;NA
Acentrogobius nebulosus;LC
Acentrogobius pellidebilis;NA
Acheilognathus hondae;NA
Acheilognathus majusculus;NA
Acheilognathus rhombeus;NA
Acheilognathus signifer;NA
Acheilognathus yamatsutae;NA
Achiroides melanorhynchus;LC
Acrobrycon ipanquianus;LC
Acrocheilus alutaceus;LC
Acrossocheilus longipinnis;NA
Acrossocheilus monticola;NA
Acrossocheilus paradoxus;NA
Adinia xenica;LC
Aequidens potaroensis;NA
Afronemacheilus abyssinicus;DD
Afurcagobius suppositus;NA
Afurcagobius tamarensis;NA
Ageneiosus marmoratus;NA
Ailiichthys punctata;DD
Alburnus atropatenae;NA
Alburnus mossulensis;NA
Allotoca regalis;CR
Ambassis jacksoniensis;NA
Amblydoras bolivarensis;NA
Ammodytes americanus;NA
Amniataba caudavittata;NA
Amphilius kivuensis;NA
Amphilophus labiatus;NA
Anabarilius songmingensis;NA
Anablepsoides holmiae;NA
Anablepsoides lanceolatus;NA
Anablepsoides mazaruni;NA
Anablepsoides stagnatus;NA
Anablepsoides waimacui;NA
Anadoras regani;NA
Ancherythroculter kurematsui;NA
Ancherythroculter nigrocauda;NA
Ancherythroculter wangi;NA
Ancistrus occidentalis;NA
Ancistrus temminckii;NA
Anematichthys repasson;LC
Anguilla malgumora;NA
Anguilla nebulosa;NA
Anostomoides laticeps;NA
Anyperodon leucogrammicus;LC
Apareiodon orinocensis;NA
Aphanius apodus;DD
Aphanius sophiae;NA
Aphanius vladykovi;NA
Aphyocharax alburnus;NA
Aphyocharax nattereri;LC
Aphyocypris kikuchii;NA
Aphyolebias obliquus;VU
Aphyolebias peruensis;DD
Aphyolebias rubrocaudatus;LC
Aphyolebias wischmanni;DD
Apistogramma agassizii;NA
Apistogramma bitaeniata;NA
Apistogramma borellii;NA
Apistogramma cacatuoides;NA
Apistogramma commbrae;NA
Apistogramma diplotaenia;NA
Apistogramma eunotus;NA
Apistogramma gossei;NA
Apistogramma inconspicua;NA
Apistogramma pertensis;NA
Apistogramma pulchra;NA
Apistogramma regani;NA
Apistogramma resticulosa;NA
Apistogramma rupununi;NA
Apistogramma staecki;NA
Apistogramma steindachneri;NA
Apistogramma trifasciata;NA
Apistogramma uaupesi;NA
Aplocheilichthys hutereaui;LC
Aplocheilichthys katangae;LC
Aplocheilichthys myaposae;NT
Aplodactylus lophodon;NA
Arius maculatus;NA
Arripis georgianus;NA
Astatotilapia bloyeti;DD
Astatotilapia desfontainii;EN
Astyanax asuncionensis;NA
Astyanax aurocaudatus;NT
Astyanax dnophos;NA
Astyanax jacuhiensis;NA
Astyanax multidens;LC
Astyanax pedri;NA
Astyanax ruberrimus;NA
Atherinosoma microstoma;NA
Aulonocara brevirostre;LC
Aulonocara hansbaenschi;VU
Aulonocara steveni;VU
Aulopareia janetae;NA
Austrofundulus limnaeus;NA
Austrolebias alexandri;NA
Austrolebias carvalhoi;CR
Austrolebias elongatus;EN
Austrolebias ibicuiensis;EN
Austrolebias monstrosus;VU
Austrolebias nigripinnis;NT
Austrolebias nioni;NA
Austrolebias patriciae;VU
Austrolebias periodicus;NA
Austrolebias varzeae;VU
Austrolebias vazferreirai;NA
Awaous melanocephalus;DD
Bagarius bagarius;VU
Balitora elongata;DD
Balitora tchangi;NA
Bangana rendahli;NA
Barbatula farsica;NA
Barbodes mahakkamensis;NA
Barbus andrewi;EN
Barbus barbulus;NA
Barbus calidus;NT
Barbus cercops;NA
Barbus erubescens;CR
Barbus goktschaicus;NA
Barbus hospes;NA
Barbus humilis;NA
Barbus humphri;NA
Barbus luapulae;NA
Barbus matthesi;LC
Barbus mawambi;NA
Barbus neumayeri;LC
Barbus platyrhinus;NA
Barbus quadrilineatus;NA
Barbus serra;NT
Barbus trevelyani;EN
Barbus vanderysti;DD
Barilius caudiocellatus;DD
Basilichthys australis;VU
Bathybagrus grandis;LC
Bathybagrus graueri;LC
Bathybagrus platycephalus;LC
Bathybagrus sianenna;LC
Bathybagrus stappersii;LC
Bathyclarias euryodon;LC
Bathygobius krefftii;NA
Batrachocephalus mino;NA
Batrochoglanis acanthochiroides;NA
Beaufortia liui;NA
Beaufortia szechuanensis;NA
Boleophthalmus pectinirostris;NA
Brachyglanis nocturnus;NA
Brachygobius nunus;NA
Brachygobius sua;NA
Brachyrhaphis cascajalensis;NA
Brachyrhaphis parismina;NA
Brienomyrus tavernei;LC
Brycinus abeli;DD
Brycinus affinis;LC
Brycinus bimaculatus;LC
Brycinus carolinae;EN
Brycinus comptus;DD
Brycinus derhami;EN
Brycinus ferox;VU
Brycinus humilis;DD
Brycinus imberi;LC
Brycinus intermedius;LC
Brycinus jacksonii;LC
Brycinus kingsleyae;LC
Brycinus lateralis;LC
Brycinus minutus;VU
Brycinus nigricauda;LC
Brycinus nurse;LC
Brycinus opisthotaenia;LC
Brycinus peringueyi;LC
Brycinus sadleri;LC
Brycinus schoutedeni;NA
Brycinus taeniurus;LC
Brycinus tholloni;LC
Brycon bicolor;NA
Brycon cephalus;NA
Bryconamericus alpha;NA
Bryconamericus brevirostris;NA
Bryconamericus cristiani;NA
Bryconamericus emperador;LC
Bryconamericus gonzalezi;NA
Bryconamericus loisae;NA
Bryconamericus peruanus;NA
Bryconamericus scleroparius;NA
Bryconamericus stramineus;NA
Bryconamericus ternetzi;NA
Bryconamericus terrabensis;NA
Bryconamericus thomasi;NA
Bryconops cyrtogaster;NA
Buccochromis atritaeniatus;DD
Buccochromis oculatus;DD
Butis humeralis;NA
Caelatoglanis zonatus;NA
Callionymus enneactis;NA
Candidia barbata;NA
Capoeta aculeata;NA
Capoeta fusca;NA
Carassius gibelio;NA
Cathorops aguadulce;NA
Catostomus clarkii;LC
Catostomus nebuliferus;NA
Catostomus plebeius;DD
Centrogenys vaigiensis;NA
Centromochlus macracanthus;NA
Cephalosilurus albomarginatus;NA
Cephalosilurus nigricaudus;NA
Cetopsorhamdia picklei;NA
Chaetostoma guairense;NA
Chaetostoma pearsei;NA
Chaeturichthys stigmatias;NA
Chalinochromis popelini;NA
Chapalichthys peraticus;NA
Charax unimaculatus;NA
Cheilochromis euchilus;LC
Chelon parsia;NA
Chironemus marmoratus;NA
Chonerhinos naritus;NA
Chrysichthys rueppelli;NA
Chuanchia labiosa;NA
Cichlasoma festae;NA
Cirrhinus caudimaculatus;LC
Clarias teijsmanni;NA
Clupisoma longianalis;NA
Cobitis biwae;NA
Cobitis linea;NA
Cobitis macrostigma;NA
Cobitis pacifica;NA
Cobitis tetralineata;NA
Coilia brachygnathus;NA
Congochromis dimidiatus;LC
Copella carsevennensis;NA
Copella metae;NA
Copella nigrofasciata;LC
Coregonus nelsonii;NA
Coregonus sardinella;LC
Coreius heterodon;NA
Coreobagrus ichikawai;VU
Coreoleuciscus splendidus;NA
Coreoperca herzi;NA
Coreoperca kawamebari;NA
Cosmochilus nanlaensis;NA
Cottocomephorus alexandrae;NA
Cranoglanis multiradiatus;NA
Creagrutus provenzanoi;NA
Crenicichla vaillanti;NA
Crossocheilus burmanicus;LC
Crossocheilus diplochilus;NA
Cryptarius daugueti;NA
Cryptarius truncatus;NA
Ctenobrycon alleni;NA
Ctenogobius cervicosquamus;NA
Ctenogobius chengtuensis;NA
Ctenogobius shennongensis;NA
Ctenopoma pellegrini;NA
Cubiceps whiteleggii;NA
Culter oxycephaloides;NA
Culter recurviceps;LC
Cultrichthys compressocorpus;NA
Cymbacephalus nematophthalmus;NA
Cynoglossus bilineatus;LC
Cynotilapia pulpican;LC
Cyphocharax punctatus;NA
Cyprichromis pavo;NA
Cyprichromis zonatus;NA
Cyprinion semiplotum;VU
Cyprinion tenuiradius;NA
Dario dayingensis;NA
Dasyloricaria capetensis;NA
Dasyloricaria tuyrensis;NA
Dawkinsia singhala;LC
Dekeyseria brachyura;NA
Dekeyseria niveata;NA
Dekeyseria pulchra;NA
Dekeyseria scaphirhyncha;NA
Devario apogon;NA
Devario spinosus;NA
Diagramma pictum;NA
Dicotylichthys punctulatus;NA
Diplotaxodon apogon;LC
Drepane longimana;NA
Dules auriga;NA
Eclectochromis lobochilus;LC
Eclectochromis ornatus;LC
Ectodus descampsii;LC
Eleginops maclovinus;NA
Eleginus gracilis;NA
Eleutheronema tetradactylum;NA
Epinephelus andersoni;NT
Ericymba amplamala;LC
Ernstichthys anduzei;NA
Etheostoma saludae;NA
Euchiloglanis kishinouyei;NA
Eugnathogobius microps;DD
Euristhmus nudiceps;NA
Evynnis ehrenbergii;NA
Farlowella platorynchus;NA
Fonchiiichthys uracanthus;LC
Formosania davidi;NA
Formosania fascicauda;NA
Formosania lacustre;NA
Formosania stigmata;NA
Gagata youssoufi;NA
Galeocharax knerii;NA
Gambusia echeagarayi;DD
Garmanella pulchra;LC
Garra fisheri;NA
Garra hainanensis;DD
Garra mirofrontis;NA
Garra quadrimaculata;NA
Garra rossica;NA
Garra rupecula;NT
Gasterosteus aculeatus;LC
Gasterosteus microcephalus;NA
Genidens barbus;NA
Girella tricuspidata;NA
Glyptothorax cous;NA
Glyptothorax longicauda;NA
Glyptothorax longjiangensis;NA
Glyptothorax minimaculatus;NA
Glyptothorax silviae;NA
Gnathobagrus depressus;NA
Gnathopogon elongatus;NA
Gnathopogon herzensteini;NA
Gnathopogon imberbis;NA
Gnathopogon polytaenia;NA
Gnathopogon strigatus;NA
Gobio acutipinnatus;NA
Gobio coriparoides;NA
Gobio huanghensis;NA
Gobio lingyuanensis;NA
Gobio rivuloides;NA
Gobiobotia abbreviata;NA
Gobiobotia brevibarba;NA
Gobiobotia brevirostris;NA
Gobiobotia cheni;NA
Gobiobotia filifer;NA
Gobiobotia homalopteroidea;NA
Gobiopsis macrostoma;LC
Gobiopterus macrolepis;NA
Gobiopterus semivestitus;NA
Gonorynchus greyi;NA
Goodea gracilis;VU
Guyu wujalwujalensis;NA
Gymnocypris eckloni;NA
Gymnocypris firmispinatus;NA
Gymnocypris potanini;NA
