"Eigen.1" "Eigen.2" "Eigen.3" "Eigen.4" "Eigen.5" "Eigen.6" "Eigen.7" "Eigen.8" "Eigen.9" "Eigen.10"
"Aaptosyax_grypus" 1.16343886076503 -0.414837081420642 0.358082549840214 -2.61711899209881 -4.6169958666395 0.31516273738366 0.372294518208682 0.165929185487406 0.00674025417243078 -1.61770428045295
"Abactochromis_labrosus" 1.16343886076614 -0.414837081420896 0.358082549840815 -2.61711899209979 -4.61699586663992 0.315162737384217 0.372294518208707 0.165929185487358 0.00674025417244901 -1.61770428045327
"Abbottina_liaoningensis" 1.16394355029419 -0.415201910039096 0.358733461338911 -2.62331950769571 -4.63441957954763 0.316458127138837 0.374038419202417 0.16689063907133 0.00678330167220037 -1.62895299331019
"Abbottina_obtusirostris" 1.16417244351322 -0.415367349486854 0.359028547807136 -2.62613000483321 -4.64231387209453 0.317044980102941 0.374828326777358 0.167325989804473 0.00680279035811347 -1.63404471327799
"Abbottina_rivularis" 1.16418104936542 -0.415373569250911 0.359039640303715 -2.62623564547681 -4.642610546148 0.317067033535068 0.374858008561766 0.167342346255318 0.00680352250461937 -1.63423598370036
"Aborichthys_kempi" 1.16418104936539 -0.415373569251358 0.359039640304387 -2.62623564547695 -4.64261054614756 0.317067033534942 0.374858008561245 0.167342346255252 0.00680352250512168 -1.63423598370017
"Abramis_brama" 1.16409321111874 -0.41531008130547 0.358926399066609 -2.62515709547756 -4.63958101794066 0.316841821186148 0.3745548700784 0.167175272688784 0.00679604334255827 -1.63228192861582
"Abramites_eques" 1.16414667970051 -0.41534872585181 0.358995321972977 -2.62581350821935 -4.64142456909721 0.316978864827833 0.374739322668491 0.167276922609969 0.00680059352328813 -1.63347067695535
"Abramites_hypselonotus" 1.16415827830805 -0.415357108575915 0.359010271900036 -2.62595588523538 -4.64182440898953 0.317008587112348 0.374779325898376 0.16729896670572 0.00680158025838617 -1.63372845689155
"Abyssocottus_elochini" 1.16415827830805 -0.41535710857592 0.359010271900024 -2.6259558852354 -4.64182440898944 0.317008587112581 0.374779325898854 0.16729896670588 0.00680158025836041 -1.6337284568916
"Abyssocottus_gibbosus" 1.17276558865009 -0.421881538713435 0.37190636173465 -2.75666123574723 -5.07515642822135 0.350588943192044 0.423394410588921 0.198397831309208 0.00831677528596222 -2.06476932277007
"Abyssocottus_korotneffi" 1.17276558865009 -0.421881538713428 0.371906361734653 -2.75666123574725 -5.0751564282213 0.350588943192535 0.423394410589647 0.198397831309192 0.00831677528570807 -2.0647693227701
"Acantharchus_pomotis" 1.1830184306186 -0.429428984586454 0.38593493083048 -2.89380907790743 -5.4899747688365 0.382035192615711 0.467240943554002 0.22447360544723 0.00953852640027268 -2.39951327779103
"Acanthicus_adonis" 1.18301988807602 -0.429430056820223 0.385936921282982 -2.89382852273649 -5.49003347064567 0.382039640628229 0.467247140785315 0.224477285495019 0.00953869868811631 -2.39956044672575
"Acanthicus_hystrix" 1.18346458055045 -0.429757205208604 0.386544201370288 -2.89976092727194 -5.50794164038053 0.38339657640564 0.469137655319332 0.225599858703389 0.00959125258235824 -2.41394827630206
"Acanthobrama_lissneri" 1.18347127586565 -0.429762130105363 0.386553340768916 -2.89985019341483 -5.50821099406829 0.383416983773661 0.469166082430213 0.225616732883439 0.00959204241656436 -2.41416447483119
"Acanthobrama_marmid" 1.18347127586565 -0.429762130105364 0.386553340768909 -2.89985019341484 -5.5082109940683 0.383416983773634 0.469166082430258 0.225616732883105 0.00959204241650827 -2.41416447483116
"Acanthobrama_telavivensis" 1.18346169732873 -0.429755084271458 0.386540264981406 -2.89972247727888 -5.50782560075605 0.383387784398588 0.469125407358488 0.225592587409578 0.00959091220893848 -2.41385510076053
"Acanthobunocephalus_nicoi" 1.18346169732873 -0.429755084271464 0.386540264981416 -2.89972247727889 -5.50782560075606 0.383387784398582 0.469125407358477 0.225592587409864 0.00959091220890662 -2.41385510076066
"Acanthocharax_microlepis" 1.18353260494215 -0.42980725509214 0.386637132131814 -2.90066888780482 -5.51068355775854 0.38360435572726 0.469427183587851 0.225771830263251 0.0095993048195844 -2.41615309821028
"Acanthocleithron_chapini" 1.18353266593575 -0.429807299958945 0.386637215399594 -2.90066970113072 -5.51068601217091 0.383604541688664 0.469427442640203 0.225771984048408 0.00959931201809551 -2.41615506873863
"Acanthocobitis_botia" 1.18353266593575 -0.429807299958945 0.386637215399597 -2.90066970113072 -5.51068601217092 0.383604541688654 0.469427442640209 0.22577198404841 0.00959931201812966 -2.41615506873858
"Acanthocobitis_mooreh" 1.18353292459373 -0.429807498853722 0.386637618170701 -2.90067382798143 -5.51069994365934 0.383605623975934 0.469429013820781 0.22577298952759 0.00959936089698271 -2.41616892291344
"Acanthocobitis_pavonacea" 1.18363164243697 -0.429880126925893 0.386772452005647 -2.90199108338747 -5.5146770303628 0.383906987701245 0.469848910147339 0.226022354427123 0.00961103589251302 -2.41936543907215
"Acanthocobitis_rubidipinnis" 1.18363164243697 -0.429880126925898 0.386772452005644 -2.90199108338748 -5.51467703036279 0.383906987701245 0.469848910147344 0.226022354427124 0.0096110358924599 -2.41936543907209
"Acanthodoras_cataphractus" 1.18366544733065 -0.429904997556027 0.386818623901358 -2.90244215633637 -5.51603890366338 0.384010183351659 0.469992694092653 0.226107742969111 0.00961503367218209 -2.42045999250788
"Acanthodoras_depressus" 1.18366775175987 -0.42990669292619 0.386821771234732 -2.90247290345178 -5.51613173089662 0.384017217241823 0.47000249433702 0.226113562812491 0.00961530614474 -2.42053459155357
"Acanthodoras_spinosissimus" 1.18368018196313 -0.429915837826218 0.386838748051509 -2.902638754171 -5.5166324417832 0.384055158077111 0.470055356832309 0.226144954957423 0.00961677585518719 -2.42093697662728
"Acanthogobio_guentheri" 1.18368018196313 -0.429915837826217 0.386838748051507 -2.90263875417101 -5.5166324417832 0.38405515807711 0.470055356832314 0.226144954957426 0.00961677585518375 -2.42093697662729
