"Species","Fisheries","Aquaculture","Aquarium","Game fish","Bait","Ui","Non uses"
"Aaptosyax grypus",0,0,0,0,0,0.47123807857134,1
"Abactochromis labrosus",1,0,1,0,0,0.214910765233783,0
"Abbottina liaoningensis",0,0,0,0,0,0.141143667302879,1
"Abbottina obtusirostris",0,0,0,0,0,0.37057543417326,1
"Abbottina rivularis",0,0,0,0,0,0.326242718149079,1
"Abbottina springeri",0,0,0,0,0,0.125700200372052,1
"Ablennes hians",0,0,0,0,0,0.501856950295265,1
"Aborichthys kempi",0,0,0,0,0,0.248313354324343,1
"Abramis brama",1,1,0,1,1,0.470268368807121,0
"Abramites eques",0,0,0,0,0,0.757616561661915,1
"Abramites hypselonotus",0,0,1,0,0,0.594031962215444,0
"Abudefduf bengalensis",0,0,0,0,0,0.0483209639472293,1
"Abudefduf saxatilis",0,0,0,0,0,0.307849909921958,1
"Abudefduf sordidus",0,0,0,0,0,0.0432753375371579,1
"Abudefduf vaigiensis",0,0,0,0,0,0,1
"Abyssocottus elochini",0,0,0,0,0,0.483283076850435,1
"Abyssocottus gibbosus",0,0,0,0,0,0.322920984757237,1
"Abyssocottus korotneffi",0,0,0,0,0,0.3832156781935,1
"Acanthalburnus microlepis",0,0,0,0,0,0.243641464050163,1
"Acanthalburnus urmianus",0,0,0,0,0,0.295995080750411,1
"Acantharchus pomotis",0,0,0,0,0,0.317912519509136,1
"Acanthemblemaria aspera",0,0,0,0,0,0.0200940469276253,1
"Acanthicus adonis",1,0,1,0,0,0.92999562842896,0
"Acanthicus hystrix",1,0,0,0,0,1.39164237469516,0
"Acanthobrama lissneri",0,0,0,0,0,0.266754585427299,1
"Acanthobrama marmid",0,0,0,0,0,0.314405653384283,1
"Acanthobrama telavivensis",0,0,0,0,0,0.126322482722132,1
"Acanthobrama terraesanctae",0,0,0,0,0,0.209442208086857,1
"Acanthobunocephalus nicoi",0,0,0,0,0,0.346225132670399,1
"Acanthocharax microlepis",0,0,0,0,0,0.300833959970569,1
"Acanthochromis polyacanthus",0,0,0,0,0,0,1
"Acanthocleithron chapini",0,0,0,0,0,0.723482361021544,1
"Acanthocobitis botia",0,0,0,0,0,0.264098241935853,1
"Acanthocobitis mooreh",0,0,0,0,0,0.2175372385994,1
"Acanthocobitis pavonacea",0,0,0,0,0,0.0540537897618028,1
"Acanthocobitis rubidipinnis",0,0,0,0,0,0.0353831501872406,1
"Acanthocobitis zonalternans",0,0,0,0,0,0.2889548402453,1
"Acanthocybium solandri",0,0,0,0,0,0.333451298392951,1
"Acanthodoras cataphractus",0,0,1,0,0,0.278813003410311,0
"Acanthodoras depressus",0,0,0,0,0,0.37339496041059,1
"Acanthodoras spinosissimus",0,0,1,0,0,0.21298222283702,0
"Acanthogobio guentheri",0,0,0,0,0,0.365222285957081,1
"Acanthogobius flavimanus",1,0,0,0,0,0.390855157814081,0
"Acanthogobius lactipes",1,0,0,0,0,0.406972533305579,0
"Acanthogobius luridus",0,0,0,0,0,0.356318211213082,1
"Acanthopagrus australis",0,0,0,0,0,0.235968390136051,1
"Acanthopagrus berda",1,0,0,1,0,0.640237848402554,0
"Acanthopagrus bifasciatus",0,0,0,0,0,0.0869443142498404,1
"Acanthopagrus butcheri",1,0,0,1,0,0.310090001211577,0
"Acanthopagrus latus",1,1,0,0,0,0.178386515019712,0
"Acanthopoma annectens",0,0,0,0,0,0.879106877679717,1
"Acanthopsoides delphax",0,0,0,0,0,0.600615869762088,1
"Acanthopsoides gracilentus",0,0,0,0,0,0.264098241935853,1
"Acanthopsoides gracilis",0,0,0,0,0,0.713119589463953,1
"Acanthopsoides hapalias",0,0,0,0,0,0.507287059468569,1
"Acanthopsoides molobrion",0,0,0,0,0,0.444714049680773,1
"Acanthorhodeus chankaensis",1,0,1,0,0,0.458465793258382,0
"Acanthurus bahianus",0,0,0,0,0,0,1
"Acanthurus chirurgus",0,0,0,0,0,0.351647876546193,1
"Acanthurus coeruleus",0,0,0,0,0,0,1
"Acanthurus dussumieri",0,0,0,0,0,0,1
"Acanthurus lineatus",0,0,0,0,0,0,1
"Acanthurus triostegus",0,0,0,0,0,0.0663965253606779,1
"Acanthurus xanthopterus",0,0,0,0,0,0,1
"Acantopsis choirorhynchos",0,0,0,0,0,0.667559063680749,1
"Acantopsis dialuzona",1,0,1,0,0,0.937819680284647,0
"Acantopsis octoactinotos",0,0,0,0,0,0.388709964770127,1
"Acantopsis spectabilis",0,0,0,0,0,0.114685069268712,1
"Acapoeta tanganicae",1,0,0,0,0,0.280554624298179,0
"Acarichthys heckelii",0,0,1,0,0,0.147914382081087,0
"Acaronia nassa",0,0,1,1,0,0.531609379044533,0
"Acaronia vultuosa",1,0,1,0,0,0.382991767336861,0
"Acentrogobius caninus",0,0,0,0,0,0.31791080275446,1
"Acentrogobius chlorostigmatoides",0,0,0,0,0,0.356531639609029,1
"Acentrogobius janthinopterus",0,0,0,0,0,0.137468895399702,1
"Acentrogobius nebulosus",0,0,0,0,0,0.309168616228582,1
"Acentrogobius pellidebilis",0,0,0,0,0,0.389125532684111,1
"Acentrogobius pflaumii",0,0,0,0,0,0.0910338221944214,1
"Acentrogobius simplex",0,0,0,0,0,0.34227774131879,1
"Acentrogobius viridipunctatus",0,0,0,0,0,0.229720681453411,1
"Acentronichthys leptos",1,0,1,0,0,0.358553988544339,0
"Acestridium dichromum",0,0,0,0,0,0.950158759735138,1
"Acestridium discus",0,0,0,0,0,0.985351512845865,1
"Acestridium martini",0,0,0,0,0,1.00093105401294,1
"Acestridium triplax",0,0,0,0,0,1.38009651018108,1
"Acestrocephalus anomalus",0,0,0,0,0,0.223538497838768,1
"Acestrocephalus boehlkei",0,0,0,0,0,0.462834278023116,1
"Acestrocephalus pallidus",0,0,0,0,0,0.153722753602646,1
"Acestrocephalus sardina",0,0,0,0,0,0.294156351454111,1
"Acestrorhynchus abbreviatus",0,0,0,0,0,0.264891511346249,1
"Acestrorhynchus altus",0,0,0,0,0,0.290240585153391,1
"Acestrorhynchus britskii",0,0,0,0,0,0.571240646698302,1
"Acestrorhynchus falcatus",0,0,0,0,0,0.229649373736911,1
"Acestrorhynchus falcirostris",1,0,0,0,0,0.718074597879848,0
"Acestrorhynchus grandoculis",0,0,0,0,0,0.393487985522009,1
"Acestrorhynchus heterolepis",0,0,0,0,0,0.341679574797794,1
"Acestrorhynchus isalineae",0,0,0,0,0,0.336324968431332,1
"Acestrorhynchus lacustris",0,0,0,0,0,0.322795884805362,1
"Acestrorhynchus maculipinna",0,0,0,0,0,0.438959947513713,1
"Acestrorhynchus microlepis",1,0,1,0,0,0.235135968824411,0
"Acestrorhynchus minimus",0,0,0,0,0,0.453293135639151,1
"Acestrorhynchus nasutus",0,0,0,0,0,0.528422567256904,1
"Acestrorhynchus pantaneiro",1,0,0,0,0,0.221386494955109,0
"Acheilognathus asmussii",1,0,0,0,0,0.38071034582716,0
"Acheilognathus barbatulus",0,0,0,0,0,0.350040523812843,1
"Acheilognathus barbatus",0,0,0,0,0,0.283541700628467,1
"Acheilognathus cyanostigma",0,0,0,0,0,0.384007437595943,1
"Acheilognathus deignani",0,0,0,0,0,0.296050934275521,1
"Acheilognathus elongatoides",0,0,0,0,0,0.11001277039837,1
"Acheilognathus elongatus",0,0,0,0,0,0.188837464718178,1
"Acheilognathus gracilis",0,0,0,0,0,0.0940003372391066,1
"Acheilognathus hondae",0,0,0,0,0,0.22197514944758,1
"Acheilognathus hypselonotus",0,0,0,0,0,0.52443042963768,1
"Acheilognathus imberbis",0,0,0,0,0,0.293436948580992,1
"Acheilognathus koreensis",0,0,0,0,0,0.268277137986931,1
"Acheilognathus longipinnis",0,0,0,0,0,0.359608451311403,1
"Acheilognathus macropterus",0,0,0,0,0,0.387204733874609,1
"Acheilognathus majusculus",0,0,0,0,0,0.273619284466348,1
"Acheilognathus melanogaster",0,0,0,0,0,0.206384998815236,1
"Acheilognathus meridianus",0,0,0,0,0,0.350512895492797,1
"Acheilognathus omeiensis",0,0,0,0,0,0.258233093106466,1
"Acheilognathus polylepis",0,0,0,0,0,0.303922661772842,1
"Acheilognathus rhombeus",0,0,0,0,0,0.27015060929428,1
"Acheilognathus signifer",0,0,0,0,0,0.376149080114501,1
"Acheilognathus somjinensis",0,0,0,0,0,0.309617314020928,1
"Acheilognathus tonkinensis",0,0,0,0,0,0.498830822697497,1
"Acheilognathus typus",0,0,0,0,0,0.171518529493273,1
"Acheilognathus yamatsutae",0,0,0,0,0,0.144596530753269,1
"Achiroides leucorhynchos",0,0,0,0,0,0.167883470513479,1
"Achiroides melanorhynchus",0,0,0,0,0,0.216271620965405,1
"Achirus achirus",1,0,0,0,0,0.42720296042233,0
"Achirus mazatlanus",0,0,0,0,0,0.0846743702838501,1
"Achirus novoae",0,0,0,0,0,0.105996180455291,1
"Achoerodus gouldii",0,0,0,0,0,0.273526791806126,1
"Achoerodus viridis",0,0,0,0,0,0,1
"Achondrostoma arcasii",0,0,0,0,0,0.179136404822683,1
"Achondrostoma oligolepis",0,0,0,0,0,0.15636705325213,1
"Acinocheirodon melanogramma",0,0,0,0,0,0.204281097906351,1
"Acipenser baerii",1,1,0,0,0,0.854787930272212,0
"Acipenser brevirostrum",0,0,0,1,0,0.360954171204109,0
"Acipenser dabryanus",1,0,0,0,0,1.07257711062941,0
"Acipenser fulvescens",1,0,0,1,0,1.00632721320327,0
"Acipenser gueldenstaedtii",1,1,0,0,0,0.716369776205958,0
"Acipenser medirostris",0,0,0,1,0,1.00632721320327,0
"Acipenser naccarii",1,0,0,0,0,1.02211987152858,0
"Acipenser nudiventris",1,1,0,0,0,0.366308867377317,0
"Acipenser oxyrinchus",1,0,0,0,0,0.621358173233201,0
"Acipenser persicus",1,0,0,0,0,0.366308867377317,0
"Acipenser ruthenus",1,1,0,0,0,0.360954171204109,0
"Acipenser schrenckii",1,0,0,0,0,0.621358173233201,0
"Acipenser sinensis",1,0,0,0,0,0.679147469743874,0
"Acipenser stellatus",1,1,0,0,0,1.00184317258077,0
"Acipenser sturio",1,1,0,0,0,0.679147469743874,0
"Acipenser transmontanus",1,1,0,1,0,0.66147327035319,0
"Acnodon normani",1,0,1,0,0,0.154277338992607,0
"Acnodon oligacanthus",0,0,0,0,0,0.176421822657216,1
"Acnodon senai",0,0,0,0,0,0.158936403698578,1
"Acreichthys tomentosus",0,0,0,0,0,0.0646239324145828,1
"Acrobrycon ipanquianus",0,0,0,0,0,0.0881021401771338,1
"Acrobrycon tarijae",0,0,0,0,0,0.216520108426114,1
"Acrocheilus alutaceus",0,0,0,0,0,0.391721417693055,1
"Acrochordonichthys falcifer",0,0,0,0,0,0.400483236650859,1
"Acrochordonichthys ischnosoma",0,0,0,0,0,0.650595817979911,1
"Acrochordonichthys mahakamensis",0,0,0,0,0,0.462926684048237,1
"Acrochordonichthys pachyderma",0,0,0,0,0,0.258298150371345,1
"Acrochordonichthys rugosus",0,0,0,0,0,0.534986701010974,1
"Acrossocheilus beijiangensis",1,0,1,0,0,0.11597157616177,0
"Acrossocheilus clivosius",0,0,0,0,0,0.158457813725541,1
"Acrossocheilus fasciatus",0,0,0,0,0,0.16938384175732,1
"Acrossocheilus hemispinus",0,0,0,0,0,0.313745052705752,1
"Acrossocheilus iridescens",0,0,0,0,0,0.0947172838927903,1
"Acrossocheilus kreyenbergii",0,0,0,0,0,0.186047916868296,1
"Acrossocheilus longipinnis",1,0,0,0,0,0.228011129286092,0
"Acrossocheilus monticola",0,0,0,0,0,0.302504696102277,1
"Acrossocheilus paradoxus",1,0,1,0,0,0.247940257662298,0
"Acrossocheilus parallens",1,0,1,0,0,0.166583829438798,0
"Acrossocheilus wenchowensis",1,0,1,0,0,0.27767482596406,0
"Acrossocheilus yunnanensis",1,0,0,0,0,0.16791500448608,0
"Acyrtops beryllinus",0,0,0,0,0,0.106121768004849,1
"Adinia xenica",0,0,0,0,0,0.233304129936982,1
"Adontosternarchus balaenops",0,0,0,0,0,0.455869299079022,1
"Adontosternarchus clarkae",0,0,0,0,0,0.567876650406323,1
"Adontosternarchus devenanzii",0,0,0,0,0,0.573721953451698,1
"Adontosternarchus sachsi",0,0,0,0,0,0.494412254821198,1
"Aeoliscus strigatus",0,0,0,0,0,0.113867950682826,1
"Aequidens chimantanus",0,0,0,0,0,0.16570011295427,1
"Aequidens diadema",1,0,0,0,0,0.670035792269255,0
"Aequidens epae",0,0,0,0,0,0.150220718484167,1
"Aequidens gerciliae",0,0,0,0,0,0.296721108599133,1
"Aequidens hoehnei",0,0,0,0,0,0.172166250658906,1
"Aequidens mauesanus",0,0,0,0,0,0.449757408505012,1
"Aequidens metae",0,0,1,0,0,0.247840349023269,0
"Aequidens michaeli",0,0,0,0,0,0.196077117559756,1
"Aequidens pallidus",1,0,1,0,0,0.200673689167398,0
"Aequidens paloemeuensis",0,0,0,0,0,0.235654606360744,1
"Aequidens patricki",1,0,1,0,0,0.159672228188365,0
"Aequidens plagiozonatus",0,0,0,0,0,0.321753091598215,1
"Aequidens potaroensis",0,0,0,0,0,0.246354857272169,1
"Aequidens rondoni",0,0,0,0,0,0.213807683990113,1
"Aequidens tetramerus",0,0,1,0,0,0.300447484017804,0
"Aequidens tubicen",0,0,0,0,0,0.154756879876003,1
"Aequidens viridis",0,0,0,0,0,0.267201834888796,1
"Afronandus sheljuzhkoi",0,0,0,0,0,0.239702071562112,1
"Afronemacheilus abyssinicus",0,0,0,0,0,0.109608110650966,1
"Afurcagobius suppositus",0,0,0,0,0,0.245546395379261,1
"Afurcagobius tamarensis",0,0,0,0,0,0.249723267486646,1
"Agamyxis albomaculatus",1,0,1,0,0,0.455269763679455,0
"Agamyxis pectinifrons",0,0,1,0,0,0.220044018988633,0
"Ageneiosus atronasus",0,0,0,0,0,0.530781830060571,1
"Ageneiosus brevis",0,0,0,0,0,0.317757443950528,1
"Ageneiosus inermis",1,0,0,1,0,0.308678613506858,0
"Ageneiosus magoi",0,0,0,0,0,0.275714882176379,1
"Ageneiosus marmoratus",0,0,1,0,0,0.522706079429402,0
"Ageneiosus militaris",0,0,0,0,0,0.419266308178108,1
"Ageneiosus pardalis",0,0,0,0,0,0.52269309678706,1
"Ageneiosus piperatus",0,0,0,0,0,0.354981826648772,1
"Ageneiosus polystictus",0,0,0,0,0,0.397671543880202,1
"Ageneiosus ucayalensis",0,0,0,0,0,0.537504073437867,1
"Ageneiosus uranophthalmus",0,0,0,0,0,0.318436993493045,1
"Ageneiosus vittatus",0,0,0,0,0,0.262315784527882,1
"Agoniates anchovia",0,0,0,0,0,0.226409125800645,1
"Agoniates halecinus",0,0,0,0,0,0.470778863448944,1
"Agonostomus monticola",0,0,0,0,0,0.137099698469468,1
"Agonostomus telfairii",0,0,0,0,0,0.406086391083533,1
"Agosia chrysogaster",0,0,0,0,0,0.231079486091992,1
"Aguarunichthys inpai",0,0,0,0,0,0.642803500655899,1
"Aguarunichthys tocantinsensis",0,0,0,0,0,0.34261816207421,1
"Aguarunichthys torosus",0,0,0,0,0,0.721543608191969,1
"Ailia coila",1,0,0,0,0,0.554761771743016,0
"Ailiichthys punctata",0,0,0,0,0,0.555065072412695,1
"Akrokolioplax bicornis",0,0,0,0,0,0.213908215584088,1
"Akysis brachybarbatus",0,0,0,0,0,0.205346498595745,1
"Akysis ephippifer",0,0,0,0,0,0.335080555764881,1
"Akysis hendricksoni",0,0,0,0,0,0.341174779665497,1
"Akysis maculipinnis",0,0,0,0,0,0.267441690317447,1
"Akysis microps",0,0,0,0,0,0.205346498595745,1
"Akysis recavus",0,0,0,0,0,0.21463113637701,1
"Akysis varius",0,0,0,0,0,0.231429320904846,1
"Albula argentea",0,0,0,0,0,0.125469388994979,1
"Albula vulpes",0,0,0,0,0,0.125469388994979,1
"Albulichthys albuloides",0,0,0,0,0,0.330498581876588,1
"Alburnoides bipunctatus",0,0,1,0,1,0.277524545003055,0
"Alburnoides eichwaldii",0,0,0,0,0,0.153833557997019,1
"Alburnoides taeniatus",1,0,1,0,0,0.119400317620399,0
"Alburnus albidus",0,0,0,0,0,0.118170421202213,1
"Alburnus alburnus",0,1,0,0,1,0.128024909758965,0
"Alburnus arborella",0,0,0,0,0,0.647076423594978,1
"Alburnus atropatenae",0,0,0,0,0,0.13799427478558,1
"Alburnus baliki",0,0,0,0,0,0.141757535315011,1
"Alburnus belvica",1,0,0,0,0,0.358928524104915,0
"Alburnus chalcoides",1,1,0,0,0,0.373863533153546,0
"Alburnus filippii",0,0,0,0,0,0.0863356423826618,1
"Alburnus hohenackeri",0,0,0,0,0,0.276467660346836,1
"Alburnus mossulensis",0,0,0,0,0,0.251216155900284,1
"Alcolapia alcalica",0,0,0,0,0,0.314648195878788,1
"Alcolapia grahami",0,0,0,0,0,0.0281521952380082,1
"Aldrichetta forsteri",1,0,0,1,0,0.313319687583106,0
"Alectis ciliaris",0,0,0,0,0,0.411496630933309,1
"Alectis indica",0,0,0,0,0,0.127566662565989,1
"Alepes djedaba",0,0,0,0,0,0.0987059152776704,1
"Alestes baremoze",1,0,0,0,0,0.408077337687458,0
"Alestes dentex",1,0,0,0,0,0.26928892086661,0
"Alestes liebrechtsii",0,0,0,0,0,0.310274138833414,1
"Alestes macrophthalmus",1,0,0,0,0,0.269784678414104,0
"Alestes stuhlmannii",0,0,0,0,0,0.290846932338726,1
"Alestopetersius bifasciatus",0,0,0,0,0,0.138223417351779,1
"Alestopetersius brichardi",0,0,0,0,0,0.323791998344138,1
"Alestopetersius caudalis",1,0,1,0,0,0.281530878982388,0
"Alestopetersius compressus",0,0,0,0,0,0.26256462441909,1
"Alestopetersius hilgendorfi",0,0,0,0,0,0.238035370300581,1
"Alestopetersius nigropterus",0,0,0,0,0,0.231499060035512,1
"Alestopetersius smykalai",0,0,0,0,0,0.318872926096615,1
"Alestopetersius tumbensis",0,0,0,0,0,0.208639316947606,1
"Alfaro cultratus",0,0,0,0,0,0.652008248651153,1
"Alfaro huberi",1,0,1,0,0,0.211694942969803,0
"Algansea aphanea",0,0,0,0,0,0.33415013230326,1
"Algansea avia",0,0,0,0,0,0.234230009456255,1
"Algansea lacustris",0,0,0,0,0,0.287729662371799,1
"Algansea monticola",0,0,0,0,0,0.218045384710301,1
"Algansea tincella",0,0,0,0,0,0.342431321955913,1
"Allodontichthys hubbsi",0,0,0,0,0,0.179864224015662,1
"Allodontichthys polylepis",0,0,0,0,0,0.106297009751807,1
"Allodontichthys zonistius",0,0,0,0,0,0.254425125321974,1
"Allomogurnda nesolepis",0,0,0,0,0,0.227960059714452,1
"Alloophorus robustus",1,0,1,0,0,0.188057238911628,0
"Allotoca catarinae",0,0,0,0,0,0.19110310516952,1
"Allotoca diazi",0,0,0,0,0,0.345709015721042,1
"Allotoca dugesii",0,0,0,0,0,0.280087135167406,1
"Allotoca goslinei",0,0,0,0,0,0.321775792880861,1
"Allotoca maculata",0,0,0,0,0,0.312288295722527,1
"Allotoca meeki",0,0,0,0,0,0.189235106666437,1
"Allotoca regalis",0,0,0,0,0,0.164134080882286,1
"Alosa aestivalis",1,0,0,0,0,0.248340967521526,0
"Alosa agone",1,0,0,0,0,0.362262801513615,0
"Alosa alabamae",0,0,0,0,0,0.272706024354758,1
"Alosa alosa",0,0,0,1,0,0.330285015184629,0
"Alosa chrysochloris",0,0,0,1,0,0.181588896695475,0
"Alosa fallax",0,0,0,0,0,0.147918879048426,1
"Alosa immaculata",0,0,0,0,0,0.246288881224838,1
"Alosa kessleri",1,0,0,0,0,0.494704485288651,0
"Alosa maeotica",0,0,0,0,0,0.308861997483078,1
"Alosa mediocris",0,0,0,0,0,0.384479370722999,1
"Alosa pseudoharengus",1,0,0,0,1,0.229212801363426,0
"Alosa sapidissima",1,0,0,1,0,0.278440484834721,0
"Alosa tanaica",1,0,0,0,0,0.185218989954991,0
"Alphestes immaculatus",0,0,0,0,0,0,1
"Alphestes multiguttatus",0,0,0,0,0,0,1
"Alticorpus geoffreyi",0,0,0,0,0,0.357273763160017,1
"Alticorpus macrocleithrum",1,0,1,0,0,0.306501388181305,0
"Alticorpus mentale",1,0,1,0,0,0.273050549398771,0
"Alticorpus peterdaviesi",1,0,1,0,0,0.211537498476107,0
"Alticorpus profundicola",1,0,1,0,0,0.336569257290483,0
"Altolamprologus calvus",0,0,1,0,0,0.201780011005252,0
"Altolamprologus compressiceps",0,0,0,0,0,0.248003892272667,1
