"imp_i","imp_j","m2","r"
1,2,0.005966,0.997012
1,3,0.017891,0.991014
1,4,0.00565,0.997171
1,5,0.006043,0.996974
1,6,0.006196,0.996897
1,7,0.006203,0.996894
1,8,0.006204,0.996893
1,9,0.005971,0.99701
1,10,0.005681,0.997155
1,11,0.016933,0.991497
1,12,0.014674,0.992636
1,13,0.008909,0.995535
1,14,0.005582,0.997205
1,15,0.00548,0.997256
1,16,0.016037,0.991949
1,17,0.014924,0.99251
1,18,0.005811,0.99709
1,19,0.00521,0.997392
1,20,0.005713,0.997139
1,21,0.005662,0.997165
1,22,0.005592,0.9972
1,23,0.006338,0.996826
1,24,0.005874,0.997059
1,25,0.00523,0.997382
1,26,0.005433,0.99728
1,27,0.014478,0.992734
1,28,0.005732,0.99713
1,29,0.00644,0.996775
1,30,0.005556,0.997218
1,31,0.006071,0.99696
1,32,0.006348,0.996821
1,33,0.006032,0.996979
1,34,0.013664,0.993145
1,35,0.006238,0.996876
1,36,0.005515,0.997239
1,37,0.005935,0.997028
1,38,0.005379,0.997307
1,39,0.005856,0.997068
1,40,0.014833,0.992556
1,41,0.015085,0.992429
1,42,0.014732,0.992607
1,43,0.014917,0.992514
1,44,0.005703,0.997145
1,45,0.014757,0.992594
1,46,0.014589,0.992679
1,47,0.005245,0.997374
1,48,0.014931,0.992506
1,49,0.014903,0.99252
1,50,0.006182,0.996904
1,51,0.005789,0.997101
1,52,0.014923,0.992511
1,53,0.015004,0.992469
1,54,0.005825,0.997083
1,55,0.006527,0.996731
1,56,0.005953,0.997019
1,57,0.005655,0.997169
1,58,0.015132,0.992405
1,59,0.005743,0.997124
1,60,0.015071,0.992436
1,61,0.014404,0.992772
1,62,0.015655,0.992142
1,63,0.005877,0.997057
1,64,0.015623,0.992158
1,65,0.005878,0.997056
1,66,0.006596,0.996697
1,67,0.005992,0.997
1,68,0.005806,0.997093
1,69,0.006216,0.996887
1,70,0.00579,0.997101
1,71,0.01404,0.992955
1,72,0.005753,0.997119
1,73,0.005782,0.997105
1,74,0.005649,0.997171
1,75,0.005922,0.997035
1,76,0.005861,0.997065
1,77,0.006542,0.996723
1,78,0.005759,0.997116
1,79,0.005597,0.997197
1,80,0.006108,0.996941
1,81,0.014454,0.992747
1,82,0.006104,0.996944
1,83,0.014094,0.992928
1,84,0.006155,0.996918
1,85,0.005479,0.997257
1,86,0.005728,0.997132
1,87,0.014264,0.992842
1,88,0.014338,0.992805
1,89,0.006255,0.996868
1,90,0.00608,0.996955
1,91,0.005957,0.997017
1,92,0.006172,0.996909
1,93,0.014849,0.992548
1,94,0.005635,0.997179
1,95,0.005771,0.99711
1,96,0.005433,0.99728
1,97,0.005595,0.997198
1,98,0.005506,0.997243
1,99,0.014012,0.992969
1,100,0.014016,0.992967
2,3,0.017414,0.991255
2,4,0.005677,0.997158
2,5,0.00642,0.996785
2,6,0.006428,0.996781
2,7,0.006223,0.996884
2,8,0.006695,0.996647
2,9,0.006045,0.996973
2,10,0.00619,0.9969
2,11,0.016945,0.991491
2,12,0.014775,0.992585
2,13,0.008851,0.995565
2,14,0.006004,0.996993
2,15,0.005726,0.997133
2,16,0.016104,0.991915
2,17,0.015028,0.992457
2,18,0.006428,0.996781
2,19,0.005735,0.997129
2,20,0.005942,0.997025
2,21,0.005699,0.997146
2,22,0.005895,0.997048
2,23,0.006258,0.996866
2,24,0.005666,0.997163
2,25,0.005865,0.997063
2,26,0.005786,0.997103
2,27,0.014453,0.992747
2,28,0.006239,0.996876
2,29,0.006098,0.996946
2,30,0.00611,0.99694
2,31,0.005891,0.99705
2,32,0.006203,0.996894
2,33,0.005625,0.997184
2,34,0.013802,0.993075
2,35,0.006248,0.996871
2,36,0.006075,0.996958
2,37,0.006086,0.996952
2,38,0.005959,0.997016
2,39,0.0057,0.997146
2,40,0.01446,0.992744
2,41,0.015147,0.992398
2,42,0.014598,0.992674
2,43,0.014722,0.992612
2,44,0.005827,0.997082
2,45,0.014703,0.992621
2,46,0.014665,0.99264
2,47,0.005719,0.997137
2,48,0.014956,0.992494
2,49,0.014944,0.9925
2,50,0.006722,0.996633
2,51,0.006253,0.996869
2,52,0.014773,0.992586
2,53,0.015032,0.992456
2,54,0.006388,0.996801
2,55,0.006617,0.996686
2,56,0.006318,0.996836
2,57,0.006102,0.996944
2,58,0.015196,0.992373
2,59,0.006419,0.996785
2,60,0.015065,0.992439
2,61,0.014595,0.992676
2,62,0.015497,0.992221
2,63,0.006272,0.996859
2,64,0.01571,0.992114
2,65,0.006241,0.996875
2,66,0.00631,0.99684
2,67,0.005958,0.997016
2,68,0.006104,0.996943
2,69,0.006175,0.996908
2,70,0.006434,0.996778
2,71,0.0144,0.992774
2,72,0.006097,0.996947
2,73,0.006107,0.996942
2,74,0.005572,0.99721
2,75,0.005434,0.997279
2,76,0.005856,0.997068
2,77,0.00585,0.997071
2,78,0.005718,0.997137
2,79,0.006018,0.996986
2,80,0.006206,0.996892
2,81,0.0143,0.992824
2,82,0.00603,0.99698
2,83,0.014325,0.992811
2,84,0.006225,0.996882
2,85,0.005946,0.997022
2,86,0.006309,0.99684
2,87,0.014302,0.992823
2,88,0.014421,0.992763
2,89,0.006453,0.996768
2,90,0.00645,0.99677
2,91,0.00631,0.99684
2,92,0.005798,0.997097
2,93,0.014975,0.992484
2,94,0.006217,0.996887
2,95,0.005833,0.997079
2,96,0.005916,0.997038
2,97,0.006156,0.996917
2,98,0.005897,0.997047
2,99,0.014344,0.992802
2,100,0.014082,0.992934
3,4,0.017451,0.991236
3,5,0.01723,0.991348
3,6,0.01708,0.991423
3,7,0.016639,0.991646
3,8,0.017622,0.99115
3,9,0.016714,0.991608
3,10,0.017144,0.991391
3,11,0.004626,0.997684
3,12,0.005044,0.997475
3,13,0.009415,0.995282
3,14,0.01724,0.991343
3,15,0.016956,0.991486
3,16,0.004845,0.997575
3,17,0.005015,0.997489
3,18,0.016995,0.991466
3,19,0.016511,0.99171
3,20,0.017064,0.991431
3,21,0.017184,0.991371
3,22,0.016734,0.991598
3,23,0.017823,0.991048
