"Species","IUCN_Category"
"Aaptosyax grypus","Critically Endangered"
"Abactochromis labrosus","Least Concern"
"Abbottina liaoningensis",NA
"Abbottina obtusirostris",NA
"Abbottina rivularis","Least Concern"
"Abbottina springeri",NA
"Ablennes hians","Least Concern"
"Aborichthys kempi","Near Threatened"
"Abramis brama","Least Concern"
"Abramites eques","Least Concern"
"Abramites hypselonotus","Least Concern"
"Abudefduf bengalensis","Least Concern"
"Abudefduf saxatilis","Least Concern"
"Abudefduf sordidus","Least Concern"
"Abudefduf vaigiensis","Least Concern"
"Abyssocottus elochini","Data Deficient"
"Abyssocottus gibbosus","Least Concern"
"Abyssocottus korotneffi","Least Concern"
"Acanthalburnus microlepis",NA
"Acanthalburnus urmianus",NA
"Acantharchus pomotis","Least Concern"
"Acanthemblemaria aspera","Least Concern"
"Acanthicus adonis","Least Concern"
"Acanthicus hystrix","Least Concern"
"Acanthobrama lissneri","Near Threatened"
"Acanthobrama marmid","Least Concern"
"Acanthobrama telavivensis","Vulnerable"
"Acanthobrama terraesanctae",NA
"Acanthobunocephalus nicoi","Least Concern"
"Acanthocharax microlepis","Least Concern"
"Acanthochromis polyacanthus","Least Concern"
"Acanthocleithron chapini","Least Concern"
"Acanthocobitis botia",NA
"Acanthocobitis mooreh",NA
"Acanthocobitis pavonacea",NA
"Acanthocobitis rubidipinnis",NA
"Acanthocobitis zonalternans",NA
"Acanthocybium solandri","Least Concern"
"Acanthodoras cataphractus","Least Concern"
"Acanthodoras depressus","Least Concern"
"Acanthodoras spinosissimus","Least Concern"
"Acanthogobio guentheri","Endangered"
"Acanthogobius flavimanus","Least Concern"
"Acanthogobius lactipes","Least Concern"
"Acanthogobius luridus","Least Concern"
"Acanthopagrus australis","Least Concern"
"Acanthopagrus berda","Least Concern"
"Acanthopagrus bifasciatus","Least Concern"
"Acanthopagrus butcheri","Least Concern"
"Acanthopagrus latus","Data Deficient"
"Acanthopoma annectens","Least Concern"
"Acanthopsoides delphax",NA
"Acanthopsoides gracilentus",NA
"Acanthopsoides gracilis",NA
"Acanthopsoides hapalias",NA
"Acanthopsoides molobrion",NA
"Acanthorhodeus chankaensis",NA
"Acanthurus bahianus","Least Concern"
"Acanthurus chirurgus","Least Concern"
"Acanthurus coeruleus","Least Concern"
"Acanthurus dussumieri","Least Concern"
"Acanthurus lineatus","Least Concern"
"Acanthurus triostegus","Least Concern"
"Acanthurus xanthopterus","Least Concern"
"Acantopsis choirorhynchos","Least Concern"
"Acantopsis dialuzona","Least Concern"
"Acantopsis octoactinotos","Vulnerable"
"Acantopsis spectabilis","Data Deficient"
"Acapoeta tanganicae","Least Concern"
"Acarichthys heckelii","Least Concern"
"Acaronia nassa","Least Concern"
"Acaronia vultuosa","Least Concern"
"Acentrogobius caninus","Least Concern"
"Acentrogobius chlorostigmatoides",NA
"Acentrogobius janthinopterus","Least Concern"
"Acentrogobius nebulosus",NA
"Acentrogobius pellidebilis","Data Deficient"
"Acentrogobius pflaumii","Least Concern"
"Acentrogobius simplex","Least Concern"
"Acentrogobius viridipunctatus","Least Concern"
"Acentronichthys leptos","Least Concern"
"Acestridium dichromum","Least Concern"
"Acestridium discus","Least Concern"
"Acestridium martini","Least Concern"
"Acestridium triplax","Least Concern"
"Acestrocephalus anomalus","Data Deficient"
"Acestrocephalus boehlkei","Least Concern"
"Acestrocephalus pallidus","Least Concern"
"Acestrocephalus sardina","Least Concern"
"Acestrorhynchus abbreviatus","Least Concern"
"Acestrorhynchus altus","Data Deficient"
"Acestrorhynchus britskii","Least Concern"
"Acestrorhynchus falcatus","Least Concern"
"Acestrorhynchus falcirostris","Least Concern"
"Acestrorhynchus grandoculis","Least Concern"
"Acestrorhynchus heterolepis","Least Concern"
"Acestrorhynchus isalineae",NA
"Acestrorhynchus lacustris",NA
"Acestrorhynchus maculipinna",NA
"Acestrorhynchus microlepis",NA
"Acestrorhynchus minimus","Least Concern"
"Acestrorhynchus nasutus","Least Concern"
"Acestrorhynchus pantaneiro","Least Concern"
"Acheilognathus asmussii","Least Concern"
"Acheilognathus barbatulus","Least Concern"
"Acheilognathus barbatus","Vulnerable"
"Acheilognathus cyanostigma","Endangered"
"Acheilognathus deignani","Data Deficient"
"Acheilognathus elongatoides","Data Deficient"
"Acheilognathus elongatus","Critically Endangered"
"Acheilognathus gracilis","Least Concern"
"Acheilognathus hondae",NA
"Acheilognathus hypselonotus","Critically Endangered"
"Acheilognathus imberbis","Least Concern"
"Acheilognathus koreensis",NA
"Acheilognathus longipinnis","Endangered"
"Acheilognathus macropterus","Data Deficient"
"Acheilognathus majusculus",NA
"Acheilognathus melanogaster","Vulnerable"
"Acheilognathus meridianus","Data Deficient"
"Acheilognathus omeiensis","Near Threatened"
"Acheilognathus polylepis","Least Concern"
"Acheilognathus rhombeus",NA
"Acheilognathus signifer",NA
"Acheilognathus somjinensis",NA
"Acheilognathus tabira tabira","Near Threatened"
"Acheilognathus tonkinensis","Data Deficient"
"Acheilognathus typus","Vulnerable"
