"species","Dist","Fisheries","Aquaculture","Aquarium","Game fish","Bait","All uses","IUCN","Non use","n_basins","Ecoregion"
"Aaptosyax grypus",5.39399374858983,0,0,0,0,0,0,"CR",1,1,"Indo-Malay"
"Abactochromis labrosus",3.3223318821784,1,0,1,0,0,1,"LC",0,1,"Afrotropic"
"Abbottina liaoningensis",3.06988531449674,0,0,0,0,0,0,NA,1,5,"Palearctic"
"Abbottina obtusirostris",3.5455850259268,0,0,0,0,0,0,NA,1,1,"Palearctic"
"Abbottina rivularis",3.131054354275,0,0,0,0,0,0,"LC",1,80,"Palearctic; Indo-Malay"
"Aborichthys kempi",3.76241030661696,0,0,0,0,0,0,"NT",1,1,"Indo-Malay"
"Abramis brama",4.11193377743124,1,1,0,1,1,1,"LC",0,147,"Palearctic"
"Abramites eques",4.60077965267285,0,0,0,0,0,0,"LC",1,1,"Neotropic"
"Abramites hypselonotus",3.63953748341686,0,0,1,0,0,1,"LC",0,5,"Neotropic"
"Abyssocottus elochini",4.01571916294582,0,0,0,0,0,0,"DD",1,1,"Palearctic"
"Abyssocottus gibbosus",4.15734710227137,0,0,0,0,0,0,"LC",1,1,"Palearctic"
"Abyssocottus korotneffi",3.63907204834581,0,0,0,0,0,0,"LC",1,1,"Palearctic"
"Acantharchus pomotis",3.14268576719818,0,0,0,0,0,0,"LC",1,38,"Nearctic"
"Acanthicus adonis",6.93055958129182,1,0,1,0,0,1,"LC",0,1,"Neotropic"
"Acanthicus hystrix",7.35880977840086,1,0,0,0,0,1,"LC",0,2,"Neotropic"
"Acanthobrama lissneri",3.19940567324609,1,0,0,0,0,1,"NT",0,2,"Palearctic"
"Acanthobrama marmid",3.7476582691129,1,0,0,0,0,1,"LC",0,5,"Palearctic"
"Acanthobrama telavivensis",3.14185969206319,1,0,0,0,0,1,"VU",0,6,"Palearctic"
"Acanthobunocephalus nicoi",3.54127780145723,0,0,0,0,0,0,"LC",1,2,"Neotropic"
"Acanthocharax microlepis",3.08897300687968,0,0,0,0,0,0,"LC",1,2,"Neotropic"
